RegionID,last_months_since_2000,Zillow_Home_Value_Index_last,forecast_months_since_2000_h1,Zillow_Home_Value_Index_pred_t_plus_1,forecast_months_since_2000_h3,Zillow_Home_Value_Index_pred_t_plus_3,forecast_months_since_2000_h12,Zillow_Home_Value_Index_pred_t_plus_12
102001,305,369146.7589027537,306,371076.46561452805,308,371076.46561452805,317,371076.46561452805
394297,305,233829.7372099232,306,231686.93424953916,308,231686.93424953916,317,231686.93424953916
394298,305,325285.28749780304,306,353756.13482152,308,353756.13482152,317,353756.13482152
394299,305,201166.0666522083,306,198702.47939210053,308,198702.47939210053,317,198702.47939210053
394300,305,180320.8146127694,306,191532.39113930706,308,191532.39113930706,317,191532.39113930706
394302,305,238300.2831011511,306,245309.42294443722,308,245309.42294443722,317,245309.42294443722
394304,305,234387.0678235441,306,231549.75530362246,308,231549.75530362246,317,231549.75530362246
394305,305,233338.62122431505,306,244798.45190279998,308,244798.45190279998,317,244798.45190279998
394306,305,161797.31278203963,306,164502.6220699802,308,164502.6220699802,317,164502.6220699802
394307,305,411363.58006478025,306,411506.8806745705,308,411506.8806745705,317,411506.8806745705
394308,305,357779.9571089268,306,360977.34014642244,308,360977.34014642244,317,360977.34014642244
394309,305,295146.7552144301,306,290114.359598215,308,290114.359598215,317,290114.359598215
394310,305,187059.3706785373,306,250472.563939392,308,250472.563939392,317,250472.563939392
394311,305,232500.61147780545,306,257643.0148700236,308,257643.0148700236,317,257643.0148700236
394312,305,347559.6731182095,306,350877.9288926463,308,350877.9288926463,317,350877.9288926463
394314,305,161041.43946692857,306,168981.7823150522,308,168981.7823150522,317,168981.7823150522
394315,305,344403.1128651588,306,350941.58350460185,308,350941.58350460185,317,350941.58350460185
394316,305,134943.5932886602,306,186731.10536597692,308,186731.10536597692,317,186731.10536597692
394318,305,357250.52482669265,306,358453.5403979943,308,358453.5403979943,317,358453.5403979943
394319,305,175332.6494888199,306,174883.72061320723,308,174883.72061320723,317,174883.72061320723
394320,305,191166.1999654925,306,193943.421539734,308,193943.421539734,317,193943.421539734
394321,305,174688.31861249244,306,171779.97670232833,308,171779.97670232833,317,171779.97670232833
394322,305,107154.5019104741,306,112094.436471615,308,112094.436471615,317,112094.436471615
394323,305,213576.93202722888,306,215468.85595650613,308,215468.85595650613,317,215468.85595650613
394324,305,133165.07830953365,306,138025.76002373188,308,138025.76002373188,317,138025.76002373188
394325,305,261599.9556862587,306,262235.5827721181,308,262235.5827721181,317,262235.5827721181
394326,305,203730.37368481728,306,197930.32848430646,308,197930.32848430646,317,197930.32848430646
394327,305,396852.7219884477,306,395601.9490330524,308,395601.9490330524,317,395601.9490330524
394330,305,250950.6370870496,306,248629.16553211014,308,248629.16553211014,317,248629.16553211014
394331,305,309435.54301764164,306,306502.24810241134,308,306502.24810241134,317,306502.24810241134
394332,305,418559.27156725153,306,424638.47039907717,308,424638.47039907717,317,424638.47039907717
394333,305,163044.6989454192,306,168779.67620175408,308,168779.67620175408,317,168779.67620175408
394334,305,338779.9350747862,306,341876.6860836595,308,341876.6860836595,317,341876.6860836595
394335,305,246768.82838743032,306,258648.80188612384,308,258648.80188612384,317,258648.80188612384
394336,305,180048.74185282434,306,183035.84447545506,308,183035.84447545506,317,183035.84447545506
394337,305,158866.26657867082,306,157439.46598514103,308,157439.46598514103,317,157439.46598514103
394338,305,440127.73940069793,306,440432.93841593934,308,440432.93841593934,317,440432.93841593934
394339,305,234009.7355186152,306,231828.53269745046,308,231828.53269745046,317,231828.53269745046
394340,305,173188.73398856557,306,171213.9371660043,308,171213.9371660043,317,171213.9371660043
394341,305,521967.2743590596,306,517467.36860576645,308,517467.36860576645,317,517467.36860576645
394342,305,175536.87296319637,306,166354.07616997193,308,166354.07616997193,317,166354.07616997193
394343,305,182053.83263206304,306,232408.75351743304,308,232408.75351743304,317,232408.75351743304
394344,305,247478.54877301547,306,247301.22602193474,308,247301.22602193474,317,247301.22602193474
394345,305,280669.93170352414,306,278724.16082848405,308,278724.16082848405,317,278724.16082848405
394346,305,367569.5035704851,306,367932.7688038472,308,367932.7688038472,317,367932.7688038472
394347,305,388897.2066109204,306,394225.7221089493,308,394225.7221089493,317,394225.7221089493
394348,305,377608.6227334144,306,379628.11920701695,308,379628.11920701695,317,379628.11920701695
394349,305,243263.9480476745,306,233693.95083781413,308,233693.95083781413,317,233693.95083781413
394350,305,224854.5722893769,306,234554.04481345878,308,234554.04481345878,317,234554.04481345878
394351,305,337061.5228270427,306,341453.7808868509,308,341453.7808868509,317,341453.7808868509
